VehicleID,FuelConsumption,Route,DistanceKM,EngineHours,FuelConsumption_Int,Fuel_Normalized,EstimatedTripLiters,EstimatedFuelCostINR,MaintenanceRiskScore,MaintenanceStatus
TRK-100,38.6,Route-West,1594,31.8,39,0.8133971291866029,615.284,59374.906,0.42098241758184674,Optimal Operational Health
TRK-101,31.7,Route-South,4897,86.2,32,0.4832535885167463,1552.349,149801.67849999998,0.6336795488724278,Scheduled Maintenance Due
TRK-102,33.31666666666667,Route-West,3667,87.0,33,0.5606060606060608,1221.722166666667,117896.18908333336,0.610351181966788,Scheduled Maintenance Due
TRK-103,27.4,Route-South,5299,97.2,27,0.27751196172248793,1451.926,140110.859,0.5931463696114887,Scheduled Maintenance Due
TRK-105,42.5,Corridor-Express,4798,85.8,42,1.0,2039.1499999999999,196777.97499999998,0.8853271829055835,Immediate Overhaul Required
TRK-106,40.9,Route-North,3957,66.6,41,0.923444976076555,1618.413,156176.8545,0.730880088910831,Immediate Overhaul Required
TRK-108,35.9,Corridor-Express,2147,45.7,36,0.6842105263157894,770.7729999999999,74379.59449999999,0.4375399853275656,Optimal Operational Health
TRK-109,27.3,Route-North,5256,106.2,27,0.2727272727272727,1434.8880000000001,138466.692,0.6221058086337398,Scheduled Maintenance Due
TRK-110,37.0,Corridor-Express,4638,93.4,37,0.7368421052631579,1716.0600000000002,165599.79,0.7736873344578217,Immediate Overhaul Required
TRK-111,33.31666666666667,Route-North,3319,56.4,33,0.5606060606060608,1105.7801666666667,106707.78608333334,0.4776415116584496,Scheduled Maintenance Due
TRK-112,31.8,Route-South,1557,28.5,32,0.4880382775119617,495.12600000000003,47779.659,0.24401913875598086,Optimal Operational Health
TRK-113,33.2,Route-West,5236,108.8,33,0.5550239234449762,1738.352,167750.96800000002,0.7719109049193177,Immediate Overhaul Required
TRK-114,34.4,Route-East,2468,43.5,34,0.6124401913875597,848.992,81927.728,0.4103973306663316,Optimal Operational Health
TRK-115,33.31666666666667,Route-North,2899,65.9,33,0.5606060606060608,965.8501666666667,93204.54108333334,0.49094055043476886,Scheduled Maintenance Due
TRK-116,37.4,Route-West,4479,96.1,37,0.7559808612440191,1675.146,161651.589,0.7849423003443683,Immediate Overhaul Required
TRK-117,31.2,Route-West,3474,72.7,31,0.4593301435406698,1083.8880000000001,104595.19200000001,0.4960904153053942,Scheduled Maintenance Due
TRK-119,27.5,Route-East,2685,51.0,28,0.2822966507177033,738.375,71253.1875,0.28481180001054585,Optimal Operational Health
TRK-120,21.6,Corridor-Express,5342,103.7,22,0.0,1153.872,111348.648,0.4809464508094645,Scheduled Maintenance Due
TRK-122,29.3,Route-South,3221,54.3,29,0.3684210526315789,943.753,91072.1645,0.3685250930577462,Optimal Operational Health
TRK-123,34.5,Route-West,4421,74.2,34,0.6172248803827751,1525.2450000000001,147186.14250000002,0.6306813989013771,Scheduled Maintenance Due
TRK-124,33.31666666666667,Route-East,3783,83.0,33,0.5606060606060608,1260.3695,121625.65675,0.6015366802057236,Scheduled Maintenance Due
TRK-125,34.4,Corridor-Express,2478,48.2,34,0.6124401913875597,852.432,82259.688,0.42848488542712787,Optimal Operational Health
TRK-126,33.3,Route-West,4655,95.5,33,0.5598086124401912,1550.1149999999998,149586.09749999997,0.6939144498196421,Scheduled Maintenance Due
TRK-127,30.7,Route-North,2318,39.5,31,0.43540669856459324,711.626,68671.909,0.2990106003273374,Optimal Operational Health
